ID,Query,shape_name,Qty,Qty.UOM,material_type,d_grade,d_gauge,d_depth,d_size,d_height,d_width,d_length,d_thickness,d_sidea,d_sideb,d_wallthickness,d_outerdiameter,d_innerdiameter,d_nominalsize,d_schedule,weight_per_length,web_thickness,production_process,standard_designation,structural_size_designation,surface_condition,surface_finish,heat_treated_condition,cold_finishing_process,weight_per_piece,coating_type,edge_type,quality_designation
75,(2) ¼ x 2 flat 304SS x 12 ft,Flat Bar,2,piece,Stainless Steel,304,,,,,2.0,144,0.25,,,,,,,,,,,,,,,,,,,,
76,(3) 11 ga sheet 304SS 48 x 96,Sheet,3,piece,Stainless Steel,304,11,,,,48,96,,,,,,,,,,,,,,,,,,,,,
77,"Aluminum sheet,6061T651,0.25,48x96 (2sheets)",Sheet,1,piece,Aluminum,6061,,,,,60,120,0.25,,,,,,,,,,,,,,,T651,,,,,
78,¼” 6061 al x 60 x 120 Qty 1,Sheet,1,piece,Aluminum,6061,,,,,60,120,.25,,,,,,,,,,,,,,,,,,,,
79,.100 5052 AL X 60 X 120 QTY 1,Sheet,1,piece,Aluminum,5052,,,,,60,120,.100,,,,,,,,,,,,,,,,,,,,
80,.190 5052 AL X 60 X 120 QTY 1,Sheet,1,piece,Aluminum,5052,,,,,60,120,.190,,,,,,,,,,,,,,,,,,,,
81,.125 5052 AL X 60 X 120 QTY 1,Sheet,1,piece,Aluminum,5052,,,,,60,120,.125,,,,,,,,,,,,,,,,,,,,
82,.09 5052 AL X 60 X 120 QTY 1,Sheet,1,piece,Aluminum,5052,,,,,60,120,.09,,,,,,,,,,,,,,,,,,,,
83,.25 5052 AL X 60 X 120 QTY 1,Sheet,1,piece,Aluminum,5052,,,,,60,120,.25,,,,,,,,,,,,,,,,,,,,
84,"160) Lengths 1"" x 18 ga round",Round Tube,160,piece,Carbon Steel,,18,,1,,,?,,,,,,,,,,,,,,,,,,,,,
85,"6 pcs. A36 - 1.75"" x 27"" x 27"".",Plate,6,piece,Carbon Steel,,,,,,27,27,1.75,,,,,,,,,,,A36/A36M-19,,,,,,,,,
86,"14 GA (.075"" THK) X 48.00 X 96.00, 304-2B STAINLESS STEEL (20) Sheets",Sheet,20,piece,Stainless Steel,304,14,,,,48,96,.075,,,,,,,,,,,,,,2B,,,,,,
87,"(100) 7/16"" (.4375) RD C12L14 12'",Round Bar,100,piece,Carbon Steel,C12L14,,,.4375,,,144,,,,,,,,,,,,,,,,,,,,,
88,"(150) 3/4"" (0.750) RD C12L14 12'",Round Bar,150,piece,Carbon Steel,C12L14,,,.75,,,144,,,,,,,,,,,,,,,,,,,,,
89,30k lbs of 1.625 RD Aluminum 6061,Round Bar,30000,lb,Aluminum,6061,,,1.625,,,?,,,,,,,,,,,,,,,,,,,,,
90,"MATL: 1.00"" DIA X 12FT 17-4 COND ""A"" ASTM A 564 OR AMS 5643, DOMESTIC 38 bars",Round Bar,38,piece,Stainless Steel,17-4,,,1.0,,,144,,,,,,,,,,,,A564/A564M-19a,,,,Condition A,,,,,
91,Qty 4 Carb Bar RD CF 1144 A311 CL-B 3.25in x 144in r/l,Round Bar,4,piece,Carbon Steel,1144,,,3.25,,,144,,,,,,,,,,,,,,,,,,,,,
92,30) 3/16 round SS rods,Round Bar,30,piece,Stainless Steel,,,,.1875,,,?,,,,,,,,,,,,,,,,,,,,,
93,"10) 1/2"" x 1 3/4"" 304SS true bar",Flat Bar,10,piece,Stainless Steel,304,,,,,1.75,?,.5,,,,,,,,,,,,,,,,,,,Rolled Edge,
94,"30 sheets of 316L stainless steel please? 20 gauge, 2b finish",Sheet,30,piece,Stainless Steel,316L,20,,,,?,?,,,,,,,,,,,,,,,2B,,,,,,
95,14 GA GALV – 60 X 120 – QTY (9),Sheet,9,piece,Carbon Steel,,14,,,,60,120,,,,,,,,,,,,,,Galvanized,,,,,,,
96,"5,000 lbs of 14ga galvanized 48x120",Sheet,5000,lb,Carbon Steel,,14,,,,48,120,,,,,,,,,,,,,,Galvanized,,,,,,,
97,4000lbs 14ga HRPO 48 x 120,Sheet,4000,lb,Carbon Steel,,14,,,,48,120,,,,,,,,,,,Hot-Rolled,,,Pickled Oiled,,,,,,,
98,Qty 50 12ft 3\8x 1in flat bar 304ss,Flat Bar,50,piece,Stainless Steel,304,,,,,1,144,.375,,,,,,,,,,,,,,,,,,,,
99,2 x 2 x 1/8 wall Sq tube 304ss Qty 30,Square Tube,30,piece,Stainless Steel,304,,,,2,2,?,,,,.125,,,,,,,,,,,,,,,,,
100,2 PCS – 0.188” 5052 4 x 12,Sheet,2,piece,Aluminum,5052,,,,,48,144,.188,,,,,,,,,,,,,,,,,,,,
101,4 PCS – 0.188” 5052 4 x 8,Sheet,4,piece,Aluminum,5052,,,,,48,96,.188,,,,,,,,,,,,,,,,,,,,
102,"1 PC - Channel, Aluminum - 6'' x 2'' - .281'' Thick – 20’ Long",C-Channel,1,piece,Aluminum,,,6,,,2,240,,,,,,,,,,.281,,,,,,,,,,,
103,"1 PC - Square Tubing, Aluminum, Round Corners - 4'' x 4'' x .25'' Wall – 20’ Long",Square Tube,1, piece,Aluminum,,,,,4,4,240,,,,.25,,,,,,,,,,,,,,,,,
104,"1 PC - Pipe, Aluminum, 1.00'' Nominal, Schedule 40, 1.315'' Outside Dia., 0.133'' Wall Thickness – 20’ Long",Pipe,1,piece,Aluminum,,,,,,,240,,,,0.133,1.315,,1.0,40,,,,,,,,,,,,,
105,15 pcs 16ga cr sht 1008 4 x 10,Sheet,15,piece,Carbon Steel,1008,16,,,,48,120,,,,,,,,,,,Cold-Rolled,,,,,,,,,,
106,15 pcs 18ga cr sht 1008 4 x 10,Sheet,15,piece,Carbon Steel,1008,18,,,,48,120,,,,,,,,,,,Cold-Rolled,,,,,,,,,,
107,15 pcs 20ga cr sht 1008 4 x 10,Sheet,15,piece,Carbon Steel,1008,20,,,,48,120,,,,,,,,,,,Cold-Rolled,,,,,,,,,,
108,3000lbs 48x96” 1/8” Aluminum 5052,Sheet,3000,lb,Aluminum,5052,,,,,48,96,.125,,,,,,,,,,,,,,,,,,,,
109,3000lbs 48x83.5” 16ga galvanized,Sheet,2000,lb,Carbon Steel,,16,,,,48,83.5,,,,,,,,,,,,,,Galvanized,,,,,,,
110,2000lbs 48x91” 18ga galvanized,Sheet,2000,lb,Carbon Steel,,18,,,,48,91,,,,,,,,,,,,,,Galvanized,,,,,,,
111,"Stainless Steel 304 #4 Laser Vinyl Sheet, 11 GA x 48"" x 120"" - Certs Required - X1",Sheet,1,piece,Stainless Steel,304,11,,,,48,120,,,,,,,,,,,,,,,No 4,,,,LASER VINYL,,
112,"6061 round tube 2pc 2""OD x .250"" x 12'",Round Tube,2,piece,Aluminum,6061,,,,,,240,,,,.25,2,,,,,,,,,,,,,,,,
113,"6061 round tube 1pc 2.5"" OD x .250"" wall x 24-36""",Round Tube,1,piece,Aluminum,6061,,,,,,24,,,,.25,2.5,,,,,,,,,,,,,,,,
114,"1 EA. - 3/8"" X 3"" FLAT BAR @ 12'-0"" LONG, TYPE 304 / 304L STAINLESS STEEL.",Flat Bar,1,piece,Stainless Steel,304,,,,,3,144,.375,,,,,,,,,,,,,,,,,,,,
115,1@ L 3x3x ¼” angle at 20’,L-Angle,1,piece,Carbon Steel,,,,,,,240,.25,3,3,,,,,,,,,,L3x3x1/4,,,,,,,,
116,1@ L6x4x ?” angle at 20’,L-Angle,1,piece,Carbon Steel,,,,,,,240,?,6,4,,,,,,,,,,L6x4x,,,,,,,,
117,6@ 1½” Sch40 pipe at 20’,Pipe,6,piece,Carbon Steel,,,,,,,240,,,,,,,1.5,40,,,,,,,,,,,,,
118,3@ 1½” Sch80 pipe at 20’,Pipe,3,piece,Carbon Steel,,,,,,,240,,,,,,,1.5,80,,,,,,,,,,,,,
119,1@ ½”x 2” flat bar at 12’,Flat Bar,1,piece,Carbon Steel,,,,,,2,144,.5,,,,,,,,,,,,,,,,,,,,
120,20' .5625” OD x .109” Wall C1020 WDOM x 17/24’,Round Tube,1,piece,Carbon Steel,1020,,,,,,240,,,,.109,.5625,,,,,,Drawn Over Mandrel,,,,,,,,,,
121,5 sheets 12 GA CRS 48 X 144,Sheet,5,piece,Carbon Steel,,12,,,,48,144,,,,,,,,,,,Cold-Rolled,,,,,,,,,,
122,10 sheets 51019 14 GA CRS 48x120,Sheet,10,piece,Carbon Steel,1019,14,,,,48,120,,,,,,,,,,,Cold-Rolled,,,,,,,,,,
123,"Mild Steel CRS 1018 Square Bar, 1.5"" x 144"" - Certs Required - X2",Square Bar,2,piece,Carbon Steel,1018,,,1.5,,,144,,,,,,,,,,,Cold-Rolled,,,,,,,,,,
124,"Stainless Steel 304 Hex Bar, 0.625"" x 144"" - Certs Required - X1",Hex Bar,1,piece,Stainless Steel,304,,,0.625,,,144,,,,,,,,,,,,,,,,,,,,,
125,"12 bars - 1-1/8"" round 304 SS x 12'",Round Bar,12,piece,Stainless Steel,304,,,1.125,,,144,,,,,,,,,,,,,,,,,,,,,
126,Qty (4)- 4' x 8' x.125 HRS Plate,Plate,4,piece,Carbon Steel,,,,,,48,96,.125,,,,,,,,,,Hot-Rolled,,,,,,,,,,
127,"3/8” x 1-1/4” CRS, 4 full lengths",Flat Bar,4,piece,Carbon Steel,,,,,,1.125,?,.375,,,,,,,,,,Cold-Rolled,,,,,,,,,,
128,"½” x 6” CRS, 3 full lengths",Flat Bar,3,piece,Carbon Steel,,,,,,6,?,.5,,,,,,,,,,Cold-Rolled,,,,,,,,,,
129,"¼” x 1” CRS, 2 full lengths",Flat Bar,2,piece,Carbon Steel,,,,,,1,?,.25,,,,,,,,,,Cold-Rolled,,,,,,,,,,
130,2 pcs 48 x 120 x ¼ 316 Stainless Plate,Plate,2,piece,Stainless Steel,316,,,,,48,120,.25,,,,,,,,,,,,,,,,,,,,
131,2 pcs 60 x 120 x ¼ 316 Stainless Plate,Plate,2,piece,Stainless Steel,316,,,,,60,120,.25,,,,,,,,,,,,,,,,,,,,
132,1 pc – 48 x 96 14ga 304 SS Sheet,Sheet,1,piece,Stainless Steel,304,14,,,,48,96,,,,,,,,,,,,,,,,,,,,,
133,"(1) 4"" Sch 10 SS 304 Pipe 20'...",Pipe,1,piece,Stainlness Steel,304,,,,,,240,,,,,,,4,10,,,,,,,,,,,,,
134,"(1) 10"" Sch 10 SS 304 Pipe 20'...",Pipe,1,piece,Stainlness Steel,304,,,,,,240,,,,,,,10,10,,,,,,,,,,,,,
135,"(1) 12"" Sch 10 SS 304 Pipe 20'...",Pipe,1,piece,Stainlness Steel,304,,,,,,240,,,,,,,12,10,,,,,,,,,,,,,
136,"(1) 14"" Sch 10 SS 304 Pipe 20'..",Pipe,1,piece,Stainlness Steel,304,,,,,,240,,,,,,,14,10,,,,,,,,,,,,,
137,"10 sticks of 1""x3""x1/8"" AL rect tube",Rectangular Tube,10,piece,Aluminum,,,,,3,1,?,,,,.125,,,,,,,,,,,,,,,,,
138,"1@48""x96""x3/8"" pickled and oiled plate",Plate,1,piece,Carbon Steel,,,,,,48,96,.375,,,,,,,,,,,,,Pickled Oiled,,,,,,,
139,"00077RSS 0.063"" X 48.00 X 96.00, 5052-H32 ALUMINUM SHEET. (6) Sheets",Sheet,6,piece,Aluminum,5052,,,,,48,96,.063,,,,,,,,,,,,,,,H32,,,,,
140,"Plat aluminium ½"" x 5"" x 20' 1x",Plate,1,piece,Aluminum,,,,,,4,240,.5,,,,,,,,,,,,,,,,,,,,
141,"Plat aluminium ¼"" x 3-1/2"" x 20' 1x",Plate,1,piece,Aluminum,,,,,,3.5,240,.25,,,,,,,,,,,,,,,,,,,,
142,"Qty. (10) 3/8” Plates 5052-H32 Aluminum, 48” x 120”.",Plate,10,piece,Aluminum,5052,,,,,48,120,.375,,,,,,,,,,,,,,,H32,,,,,
143,"Qty. (20) ¼” Plates 5052-H32 Aluminum, 48” x 120”.",Plate,10,piece,Aluminum,5052,,,,,48,120,.25,,,,,,,,,,,,,,,H32,,,,,
144,5 PCS – 0.188” 316 SS 4’ x 10’,Sheet,5,piece,Stainless Steel,316,,,,,48,120,.188,,,,,,,,,,,,,,,,,,,,
145,1 PC – 11 Ga 316 2B SS 4’ x 10’,Sheet,1,piece,Stainless Steel,316,11,,,,48,120,,,,,,,,,,,,,,,,,,,,,
146,60’ – 1’’ x 2’’(304) HSS 1/8’’wall,Rectangular Tube,60,feet,Stainless Steel,,,,,1,2,720,,,,.125,,,,,,,,,,,,,,,,,
147,40’ – 3/16’’ x 2’’(304) flat bar,Flat Bar,40,feet,Stainless Steel,304,,,,,2,480,.1875,,,,,,,,,,,,,,,,,,,,
148,2 – 5’ x 10’ 14ga(304)2b,Sheet,2,piece,Stainless Steel,304,14,,,,60,120,,,,,,,,,,,,,,,2B,,,,,,
149,QTY 60 48 x 120 x 22 GA cold rolled,Sheet,60,piece,Carbon Steel,,22,,,,48,120,,,,,,,,,,,Cold-Rolled,,,,,,,,,,
150,QTY 8 48 x 120 x 24 GA cold rolled,Sheet,8,piece,Stainless Steel,,24,,,,48,120,,,,,,,,,,,Cold-Rolled,,,,,,,,,,
151,"40 inch drop of GTM Item# RM1039 (2.375""RD 8620 CF BQ).",Round Bar,1,piece,Alloy Steel,8620,,,2.375,,,40,,,,,,,,,,,,,,,,,,,,,
152,QTY (9) 1 ½ x 1 ½ x 3/16 tube x 24 foot length,Square Tube,9,feet,Stainless Steel,304,,,,1.5,1.5,288,,,,.1875,,,,,,,,,,,,,,,,,
153,"16GA x 48 x 144"" SS 304#4 sheet",Sheet,1,piece,Stainless Steel,304,16,,,,48,144,,,,,,,,,,,,,,,No 4,,,,,,
154,6 sheets of 1/8 stainless steel 304 checker plate 4 x 10,Plate,6,piece,Stainless Steel,316L,,,,,48,120,.25,,,,,,,,,,,,,,TREAD,,,,,,
155,316L PL1/4” 48x360 – 1pc,Plate,1,piece,Stainless Steel,316L,,,,,48,360,.25,,,,,,,,,,,,,,,,,,,,
156,316L. PL1/4” 96x240 – 1pc,Plate,1,piece,Stainless Steel,316L,,,,,96,240,.25,,,,,,,,,,,,,,,,,,,,
157,.190 5052 Alum Sheet 48x120 qty 24 sheets,Sheet,24,piece,Aluminum,5052,,,,,48,120,.19,,,,,,,,,,,,,,,,,,,,
158,.190 5052 Alum Sheet 48x91 qty 30 sheets,Sheet,30,piece,Aluminum,5052,,,,,48,91,.19,,,,,,,,,,,,,,,,,,,,
159,2) 7 Ga X 60” X 144” 7 Ga. 304SS,Sheet,2,piece,Stainless Steel,304,7,,,,60,144,,,,,,,,,,,,,,,,,,,,,
160,"1 1144RB2-7/16XP ALT: 160003656 Carbon Round Bar Cold Finished 1144 A311 CL-B 2.4375 "" X 240 """,Round Bar,240,piece,Carbon Steel,1144,,,,,,240,,,,,,,,,,,,,,,,,Cold Finished,,,,